gbif_id,taxon_name,decimal_latitude,decimal_longitude
1260657175,Valeriana_tomentosa,-2.78333,-78.61666
1852112278,Valeriana_tomentosa,-5.0055,-79.8014
1258652698,Valeriana_tomentosa,-0.86666,-78.9
1261836083,Valeriana_tomentosa,-4.72194,-79.43555
1261838131,Valeriana_tomentosa,-3.71972,-79.33444
1852099204,Valeriana_tomentosa,-3.5,-79.22
1258270731,Valeriana_tomentosa,-2.76666,-78.91666
1258415670,Valeriana_tomentosa,-2.5,-78.88333
1259993459,Valeriana_tomentosa,-3.25,-79.08333
1261256510,Valeriana_tomentosa,-3.68333,-79.33333
1261256551,Valeriana_tomentosa,-3.61666,-79.26666
47861019,Valeriana_tomentosa,-3.616,-79.266
1261256638,Valeriana_tomentosa,-3.166667,-79.05
47861772,Valeriana_tomentosa,-3.45,-79.5
1261256671,Valeriana_tomentosa,-0.383333,-78.35
47861940,Valeriana_tomentosa,-2.5,-79
47861922,Valeriana_tomentosa,-2.8,-79.283
47860764,Valeriana_tomentosa,-3.2,-78.75
1261256558,Valeriana_tomentosa,-2.8,-79.28333
1259956517,Valeriana_tomentosa,-4.65,-79.3
47861931,Valeriana_tomentosa,-2.95,-79.233
1261256592,Valeriana_tomentosa,-2.95,-79.23333
47861206,Valeriana_tomentosa,-1.8,-78.866
1261256412,Valeriana_tomentosa,-1.8,-78.86666
2291714436,Valeriana_tomentosa,-1.8,-78.866667
1261256395,Valeriana_tomentosa,-1.58333,-79.16666
47861190,Valeriana_tomentosa,-1.583,-79.166
1261256618,Valeriana_tomentosa,-3.16666,-78.86666
47861217,Valeriana_tomentosa,-3.166,-78.866
1261256528,Valeriana_tomentosa,-2.81666,-79.18333
47860688,Valeriana_tomentosa,-2.816,-79.183
47860713,Valeriana_tomentosa,-1.583,-79.05
47860746,Valeriana_tomentosa,-3.083,-78.833
1259955848,Valeriana_tomentosa,-3.08333,-78.83333
1261256573,Valeriana_tomentosa,-1.58333,-79.05
1261256616,Valeriana_tomentosa,-2.81666,-79.16666
47861277,Valeriana_tomentosa,-2.816,-79.166
1852141239,Valeriana_tomentosa,-1.58,-79.05
47860863,Valeriana_tomentosa,-2.5,-78.916
1261256600,Valeriana_tomentosa,-2.7,-78.78333
47860856,Valeriana_tomentosa,-2.7,-78.783
1261256649,Valeriana_tomentosa,-2.5,-78.91666
1260659961,Valeriana_tomentosa,-2.86805,-78.9325
1260661450,Valeriana_tomentosa,-2.73333,-78.61666
